cell_x,cell_y,n_points
0,2,1
0,6,14
0,7,7
0,8,3
0,9,31
0,10,23
0,15,11
0,16,3
0,19,3
1,5,14
1,6,11
1,7,29
1,8,8
1,9,8
1,10,17
1,11,2
1,14,3
1,15,26
1,16,9
1,17,9
1,18,3
1,19,14
1,20,9
1,21,12
1,22,5
2,3,6
2,4,6
2,5,7
2,6,15
2,7,20
2,9,11
2,10,30
2,11,1
2,13,11
2,14,13
2,15,23
2,16,24
2,17,30
2,18,30
2,20,4
2,21,31
2,22,1
3,0,2
3,2,3
3,3,6
3,5,3
3,6,10
3,8,2
3,9,3
3,10,20
3,11,27
3,12,11
3,13,31
3,14,30
3,15,30
3,16,27
3,17,31
3,18,30
3,19,31
3,20,3
3,21,2
3,22,1
4,1,4
4,8,2
4,10,1
4,11,30
4,12,30
4,13,31
4,14,31
4,15,31
4,16,30
4,17,31
4,18,31
4,19,31
4,20,12
4,22,1
5,1,12
5,3,1
5,6,3
5,7,18
5,8,2
5,9,2
5,10,1
5,11,16
5,12,31
5,13,31
5,14,31
5,15,30
5,16,27
5,17,7
5,18,12
5,19,22
5,20,11
5,21,2
5,22,2
6,1,6
6,6,6
6,7,6
6,8,5
6,10,6
6,11,31
6,12,31
6,13,31
6,14,30
6,15,30
6,16,10
6,17,7
6,18,1
6,19,4
6,20,1
6,21,6
6,22,4
7,9,11
7,10,24
7,11,31
7,12,30
7,13,31
7,14,31
7,15,31
7,16,31
7,17,30
7,18,30
7,19,31
7,20,26
7,21,31
7,22,30
8,2,1
8,3,1
8,4,1
8,8,2
8,9,31
8,10,31
8,11,30
8,12,31
8,13,31
8,14,30
8,15,31
8,16,31
8,17,30
8,18,31
8,19,29
8,20,31
8,21,30
8,22,19
9,2,1
9,3,14
9,4,29
9,5,5
9,6,7
9,7,1
9,8,31
9,9,30
9,10,30
9,11,31
9,12,30
9,13,31
9,14,28
9,15,9
9,16,9
9,17,29
9,18,31
9,19,31
9,20,22
9,21,3
9,22,1
10,0,3
10,1,4
10,2,1
10,3,30
10,4,31
10,5,31
10,6,16
10,7,22
10,8,4
10,9,30
10,10,31
10,11,31
10,12,31
10,13,31
10,14,31
10,15,25
10,16,25
10,17,25
10,18,31
10,19,30
10,20,11
10,21,8
11,1,1
11,4,30
11,5,21
11,6,15
11,7,31
11,8,30
11,9,31
11,10,30
11,11,30
11,12,30
11,13,30
11,14,31
11,15,30
11,16,31
11,17,30
11,18,23
11,19,7
11,20,2
11,21,12
11,22,5
12,1,1
12,5,22
12,6,31
12,7,31
12,8,29
12,9,27
12,10,31
12,11,30
12,12,31
12,13,30
12,14,31
12,15,30
12,16,31
12,17,15
12,19,1
12,21,12
13,2,7
13,6,10
13,7,25
13,8,30
13,9,31
13,10,5
13,11,11
13,14,30
13,15,31
13,16,12
13,17,1
13,18,6
13,21,5
14,3,4
14,5,8
14,6,2
14,7,12
14,8,22
14,9,2
14,10,25
14,11,31
14,12,13
14,14,14
14,15,8
14,16,6
14,17,3
14,18,1
14,19,5
14,21,6
14,22,1
15,3,4
15,4,4
15,5,2
15,6,1
15,8,18
15,9,18
15,10,28
15,11,30
15,12,31
15,13,6
15,15,1
15,16,1
15,17,14
15,18,1
15,19,3
15,20,1
15,21,31
15,22,16
16,3,1
16,5,3
16,6,14
16,9,22
16,10,31
16,11,31
16,12,31
16,13,11
16,17,3
16,19,9
16,20,4
16,21,10
16,22,11
17,3,1
17,6,3
17,7,3
17,10,23
17,11,30
17,12,5
17,18,1
17,19,11
17,20,1
18,6,1
18,11,7
