cell_x,cell_y,n_points
0,3,2
0,4,4
0,5,7
0,6,50
0,7,7
0,8,5
0,9,6
0,12,9
0,16,2
1,0,17
1,4,5
1,6,23
1,7,9
1,8,14
1,9,26
1,10,4
2,2,12
2,3,38
2,4,34
2,5,12
2,6,50
2,7,49
2,8,47
2,9,42
2,10,50
2,11,22
2,12,31
3,0,4
3,1,7
3,2,10
3,4,49
3,5,4
3,6,49
3,7,40
3,8,48
3,9,50
3,10,50
3,11,49
3,12,10
3,13,10
3,14,2
3,15,1
3,18,2
4,2,2
4,3,10
4,4,18
4,5,18
4,6,36
4,7,11
4,8,46
4,9,49
4,10,49
4,11,17
4,12,4
4,16,1
4,17,2
4,18,2
5,0,5
5,4,36
5,5,49
5,6,31
5,8,25
5,9,49
5,10,50
5,11,6
6,2,3
6,3,23
6,4,14
6,5,21
6,6,25
6,7,23
6,8,48
6,9,32
6,10,35
6,11,31
6,12,13
6,13,38
6,15,3
7,4,6
7,5,11
7,6,30
7,7,10
7,8,48
7,9,50
7,10,41
7,12,15
7,14,13
7,17,2
8,0,1
8,1,25
8,2,18
8,3,35
8,4,11
8,5,2
8,6,4
8,7,3
8,8,49
8,9,49
8,10,19
8,11,7
8,12,4
8,14,35
9,0,16
9,1,12
9,2,50
9,3,50
9,6,15
9,7,6
9,8,46
9,9,22
9,10,18
9,11,5
9,12,7
9,14,8
10,0,16
10,1,39
10,2,22
10,3,13
10,5,3
10,6,12
10,7,27
10,8,39
10,9,49
10,10,50
10,11,4
10,16,2
11,1,1
11,3,30
11,4,12
11,5,5
11,6,22
11,7,48
11,8,48
11,9,32
11,10,8
11,13,28
11,14,19
12,0,3
12,1,5
12,2,8
12,3,11
12,4,31
12,5,27
12,6,7
12,7,47
12,8,42
12,9,25
12,10,35
12,11,27
12,12,37
12,13,27
12,14,49
12,15,8
13,1,3
13,3,4
13,4,10
13,5,15
13,6,12
13,7,49
13,8,18
13,9,15
13,11,2
13,12,6
13,13,3
13,14,1
13,16,1
14,2,9
14,3,26
14,4,27
14,5,8
14,6,15
14,7,5
14,8,5
14,9,7
14,10,20
14,11,17
14,12,1
14,13,2
14,14,3
14,17,2
15,3,50
15,4,45
15,6,39
15,8,14
15,15,2
16,4,49
16,5,23
16,6,10
16,8,2
16,10,15
16,11,3
16,17,1
17,4,3
17,5,49
17,6,49
17,7,31
17,8,3
17,11,14
17,15,4
17,16,10
17,17,22
18,5,18
18,6,49
18,7,33
18,9,11
18,13,1
18,14,3
18,16,1
19,0,49
19,1,1
19,4,2
19,5,18
19,6,49
19,7,17
19,8,2
19,11,20
20,0,44
20,1,10
20,4,4
20,5,21
20,7,46
20,8,30
20,9,18
20,10,3
20,17,4
21,0,3
21,1,15
21,8,36
21,9,17
21,10,4
21,11,2
21,17,2
22,6,2
22,8,9
22,9,13
22,17,2
23,4,4
23,5,1
23,6,1
23,7,9
23,8,38
23,10,9
23,15,29
24,4,5
24,6,11
24,8,2
24,10,2
24,11,1
25,5,4
