cell_x,cell_y,n_points
0,20,4
1,10,5
1,17,20
1,18,21
1,19,23
1,20,5
2,9,1
2,10,3
2,11,3
2,16,1
2,17,49
2,18,48
2,19,48
2,20,29
2,21,21
2,22,2
2,23,3
2,24,1
3,4,3
3,7,2
3,9,2
3,16,20
3,17,45
3,18,48
3,19,48
3,20,34
3,21,49
3,22,31
3,23,9
4,3,1
4,5,2
4,7,2
4,8,1
4,9,15
4,16,27
4,17,33
4,18,43
4,19,26
4,20,48
4,21,48
4,22,30
4,23,33
4,24,8
4,25,6
5,9,2
5,10,4
5,15,48
5,16,48
5,17,48
5,18,44
5,19,31
5,20,48
5,21,21
5,22,14
5,23,7
5,24,30
5,25,5
5,26,5
5,28,1
6,0,1
6,8,1
6,10,1
6,14,48
6,15,48
6,16,48
6,17,48
6,18,49
6,19,47
6,20,48
6,21,34
6,22,32
6,23,41
6,24,30
6,25,5
6,26,26
6,27,29
6,28,5
7,0,1
7,2,1
7,7,9
7,8,13
7,9,12
7,10,19
7,11,14
7,12,17
7,13,45
7,14,48
7,15,48
7,16,48
7,17,20
7,18,34
7,19,21
7,20,48
7,21,22
7,22,26
7,23,48
7,24,23
7,25,48
7,26,11
7,27,3
8,0,1
8,4,8
8,5,12
8,6,13
8,7,32
8,8,11
8,9,11
8,10,24
8,11,15
8,12,47
8,13,43
8,14,48
8,15,48
8,16,48
8,17,48
8,18,48
8,19,48
8,20,48
8,21,36
8,22,40
8,23,23
8,24,48
8,25,48
8,26,14
8,27,2
8,28,3
9,4,11
9,5,10
9,6,12
9,7,11
9,8,1
9,9,3
9,10,48
9,11,48
9,12,32
9,13,48
9,14,48
9,15,48
9,16,47
9,17,48
9,18,44
9,19,48
9,20,48
9,21,28
9,22,5
9,23,11
9,24,12
9,25,15
9,26,23
9,27,13
9,28,10
10,2,3
10,4,6
10,6,1
10,8,7
10,9,19
10,10,48
10,11,17
10,12,23
10,13,26
10,14,46
10,15,26
10,16,27
10,17,27
10,18,15
10,19,37
10,20,39
10,21,6
10,22,4
10,24,20
10,25,30
10,26,48
10,27,17
10,28,6
11,2,10
11,5,1
11,6,8
11,7,1
11,8,15
11,9,45
11,10,49
11,12,4
11,13,1
11,14,8
11,15,2
11,16,39
11,17,28
11,19,35
11,20,48
11,21,16
11,22,1
11,23,1
11,24,15
11,25,16
11,26,9
11,27,4
11,28,2
12,0,1
12,3,6
12,4,6
12,5,3
12,6,2
12,9,16
12,19,8
12,20,20
12,21,38
12,22,9
12,23,10
13,3,4
13,4,7
13,11,2
13,21,6
13,22,8
14,1,2
14,3,1
14,10,3
14,11,6
14,12,12
14,22,4
15,11,5
