tract_fips,n_points,n_covered,coverage_rate,median_income
11001000101,13,0,0.0,168705.0
11001000102,36,0,0.0,178790.0
11001000201,13,0,0.0,-666666666.0
11001000202,37,0,0.0,170500.0
11001000300,37,0,0.0,176181.0
11001000400,48,0,0.0,206218.0
11001000501,17,0,0.0,117361.0
11001000502,31,0,0.0,152917.0
11001000600,45,0,0.0,166875.0
11001000702,9,0,0.0,90761.0
11001000703,6,0,0.0,121413.0
11001000704,16,0,0.0,92484.0
11001000802,30,0,0.0,158176.0
11001000803,7,0,0.0,138313.0
11001000804,38,0,0.0,244375.0
11001000902,24,0,0.0,250001.0
11001000903,20,0,0.0,250001.0
11001000904,30,0,0.0,250001.0
11001001002,18,0,0.0,131731.0
11001001003,33,0,0.0,250001.0
11001001004,52,0,0.0,208902.0
11001001100,63,0,0.0,176875.0
11001001200,43,0,0.0,134049.0
11001001301,22,0,0.0,85000.0
11001001303,8,0,0.0,103623.0
11001001304,21,0,0.0,122900.0
11001001401,36,0,0.0,211806.0
11001001402,33,0,0.0,167639.0
11001001500,47,0,0.0,250001.0
11001001600,61,0,0.0,210848.0
11001001702,37,0,0.0,127933.0
11001001803,19,0,0.0,64414.0
11001001804,21,0,0.0,58779.0
11001001901,23,0,0.0,83047.0
11001001902,19,0,0.0,155288.0
11001002001,15,0,0.0,56913.0
11001002002,28,0,0.0,244493.0
11001002101,19,0,0.0,75879.0
11001002102,35,0,0.0,87594.0
11001002201,16,0,0.0,127155.0
11001002202,13,0,0.0,87919.0
11001002301,11,0,0.0,141111.0
11001002302,12,0,0.0,96607.0
11001002400,20,0,0.0,134340.0
11001002501,16,0,0.0,205357.0
11001002503,11,0,0.0,101156.0
11001002504,7,0,0.0,107388.0
11001002600,26,0,0.0,250001.0
11001002702,21,0,0.0,130421.0
11001002703,9,0,0.0,127273.0
11001002704,5,0,0.0,85652.0
11001002801,9,0,0.0,80223.0
11001002802,5,0,0.0,77731.0
11001002900,9,0,0.0,179444.0
11001003000,8,0,0.0,102600.0
11001003100,15,0,0.0,144327.0
11001003200,15,0,0.0,120227.0
11001003301,13,0,0.0,198299.0
11001003302,4,0,0.0,177262.0
11001003400,29,0,0.0,110324.0
11001003500,12,0,0.0,90119.0
11001003600,6,0,0.0,135407.0
11001003701,5,0,0.0,98056.0
11001003702,1,0,0.0,67424.0
11001003801,8,0,0.0,112328.0
11001003802,5,0,0.0,137981.0
11001003901,7,0,0.0,135773.0
11001003902,5,0,0.0,111311.0
11001004001,7,0,0.0,166131.0
11001004002,5,0,0.0,170216.0
11001004100,24,0,0.0,173125.0
11001004201,7,0,0.0,148166.0
11001004202,5,0,0.0,112396.0
11001004300,8,0,0.0,124693.0
11001004401,15,0,0.0,198856.0
11001004402,12,0,0.0,171017.0
11001004600,13,0,0.0,139205.0
11001004702,9,0,0.0,136699.0
11001004703,4,0,0.0,99207.0
