tract_fips,n_points,n_covered,coverage_rate,median_income
27003051206,6,6,1.0,
27003051302,2,2,1.0,
27037060104,28,28,1.0,
27037060105,64,64,1.0,
27037060201,27,27,1.0,
27037060202,3,3,1.0,
27053000601,7,7,1.0,92292.0
27053000603,1,1,1.0,126042.0
27053001100,11,11,1.0,78533.0
27053002200,4,4,1.0,43333.0
27053002400,4,4,1.0,77237.0
27053003300,18,18,1.0,53631.0
27053003801,21,21,1.0,36734.0
27053003802,2,2,1.0,50978.0
27053005901,5,5,1.0,27214.0
27053005902,7,7,1.0,43006.0
27053006800,7,7,1.0,48264.0
27053007700,51,51,1.0,78172.0
27053007801,12,12,1.0,51902.0
27053008100,21,21,1.0,79865.0
27053008200,4,4,1.0,53277.0
27053008300,3,3,1.0,56579.0
27053008400,20,20,1.0,83875.0
27053008500,33,33,1.0,48650.0
27053009500,38,38,1.0,79539.0
27053009600,22,22,1.0,80102.0
27053010600,1,1,1.0,151477.0
27053010700,55,55,1.0,142039.0
27053011000,25,25,1.0,110588.0
27053011704,5,5,1.0,160160.0
27053011800,1,1,1.0,121949.0
27053011998,55,55,1.0,97031.0
27053012001,17,17,1.0,140734.0
27053012003,4,4,1.0,104643.0
27053012102,46,46,1.0,89091.0
27053020102,43,43,1.0,83158.0
27053021700,9,9,1.0,160556.0
27053022802,4,4,1.0,70484.0
27053100200,2,2,1.0,65400.0
27053100400,3,3,1.0,50878.0
27053100500,1,1,1.0,57175.0
27053100900,3,3,1.0,64375.0
27053101200,7,7,1.0,114969.0
27053101600,7,7,1.0,24518.0
27053101800,15,15,1.0,67572.0
27053101900,11,11,1.0,58850.0
27053102100,12,12,1.0,43828.0
27053102500,5,5,1.0,61369.0
27053102600,24,24,1.0,74688.0
27053102800,6,6,1.0,53173.0
27053103000,9,9,1.0,76765.0
27053103400,50,50,1.0,49047.0
27053103600,15,15,1.0,102202.0
27053103700,47,47,1.0,63537.0
27053103900,16,16,1.0,25201.0
27053104001,54,54,1.0,62784.0
27053104002,29,29,1.0,80388.0
27053104100,44,44,1.0,56691.0
27053104400,44,44,1.0,68272.0
27053104801,2,2,1.0,18170.0
27053104802,41,41,1.0,33438.0
27053104901,81,81,1.0,16583.0
27053104902,56,56,1.0,34853.0
27053105100,53,53,1.0,117500.0
27053105201,50,50,1.0,77995.0
27053105204,21,21,1.0,53516.0
27053105400,16,16,1.0,58862.0
27053105500,75,75,1.0,82340.0
27053105600,22,22,1.0,40000.0
27053105700,11,11,1.0,54893.0
27053106000,30,30,1.0,26960.0
27053106200,42,42,1.0,46750.0
27053106400,5,5,1.0,66193.0
27053106500,57,57,1.0,141250.0
27053106600,22,22,1.0,90750.0
27053106700,62,62,1.0,57522.0
27053106900,3,3,1.0,35417.0
27053107000,13,13,1.0,54842.0
27053107400,17,17,1.0,63640.0
27053107500,10,10,1.0,100069.0
27053107600,27,27,1.0,109926.0
27053108000,21,21,1.0,112308.0
27053108600,5,5,1.0,66926.0
27053108700,9,9,1.0,82120.0
27053108800,24,24,1.0,67609.0
27053109100,42,42,1.0,87330.0
27053109200,11,11,1.0,73716.0
27053109300,8,8,1.0,88850.0
27053109400,8,8,1.0,85875.0
27053109700,17,17,1.0,89611.0
27053109800,4,4,1.0,119345.0
27053109900,92,92,1.0,99250.0
27053110100,11,11,1.0,96406.0
27053110200,6,6,1.0,89806.0
27053110400,7,7,1.0,71078.0
27053110500,122,122,1.0,88850.0
27053110800,5,5,1.0,103056.0
27053110900,12,12,1.0,112094.0
27053111100,10,10,1.0,117656.0
27053111400,11,11,1.0,194148.0
27053111500,7,7,1.0,154375.0
27053111600,1,1,1.0,140119.0
27053125600,65,65,1.0,60116.0
27053125800,9,9,1.0,52813.0
27053125900,32,32,1.0,61149.0
27053126000,17,17,1.0,31655.0
27053126101,36,36,1.0,79552.0
27053126102,99,99,1.0,120571.0
27053126201,83,83,1.0,120313.0
27053126202,19,19,1.0,129861.0
27053126300,41,41,1.0,37568.0
27053980100,23,23,1.0,25950.0
27123030100,111,111,1.0,99088.0
27123030201,29,29,1.0,105152.0
27123030202,31,31,1.0,69199.0
27123030300,19,19,1.0,106071.0
27123030400,27,27,1.0,51753.0
27123030500,14,14,1.0,50598.0
27123030601,1,1,1.0,39960.0
27123030602,5,5,1.0,72649.0
27123030702,8,8,1.0,102167.0
27123030703,4,4,1.0,75573.0
27123031000,4,4,1.0,65606.0
27123031100,22,22,1.0,67566.0
27123031200,5,5,1.0,64135.0
27123031500,13,13,1.0,44946.0
27123031600,28,28,1.0,55332.0
27123031701,30,30,1.0,71131.0
27123031702,1,1,1.0,39637.0
27123031801,33,33,1.0,74345.0
27123031900,146,146,1.0,63969.0
27123032000,39,39,1.0,76737.0
27123032100,38,38,1.0,43393.0
27123032200,22,22,1.0,81136.0
27123032300,14,14,1.0,84688.0
27123032400,10,10,1.0,59024.0
27123032500,4,4,1.0,52951.0
27123032600,4,4,1.0,56012.0
27123032700,18,18,1.0,49625.0
27123033000,31,31,1.0,80161.0
27123033100,60,60,1.0,43510.0
27123033200,53,53,1.0,63158.0
27123033300,30,30,1.0,70333.0
27123033400,87,87,1.0,53018.0
27123033500,4,4,1.0,57070.0
27123033700,2,2,1.0,23917.0
27123033800,22,22,1.0,81818.0
27123033900,9,9,1.0,66681.0
27123034000,13,13,1.0,66045.0
27123034201,86,86,1.0,74821.0
27123034203,14,14,1.0,81149.0
27123034204,11,11,1.0,60152.0
27123034400,20,20,1.0,78523.0
27123034500,4,4,1.0,61125.0
27123034701,28,28,1.0,52035.0
27123034900,3,3,1.0,96950.0
27123035000,3,3,1.0,97679.0
27123035100,15,15,1.0,103750.0
27123035200,28,28,1.0,73958.0
27123035300,24,24,1.0,115461.0
27123035500,8,8,1.0,80481.0
27123035700,4,4,1.0,123214.0
27123035800,3,3,1.0,82202.0
27123035900,47,47,1.0,42546.0
27123036000,49,49,1.0,84286.0
27123036100,43,43,1.0,59559.0
27123036300,14,14,1.0,103939.0
27123036400,10,10,1.0,111797.0
27123036500,31,31,1.0,98047.0
27123036600,13,13,1.0,110813.0
27123036700,67,67,1.0,73958.0
27123036800,50,50,1.0,82531.0
27123036900,76,76,1.0,62763.0
27123037100,2,2,1.0,63489.0
27123037200,2,2,1.0,75568.0
27123037402,4,4,1.0,60909.0
27123037403,10,10,1.0,52214.0
27123037500,23,23,1.0,126279.0
27123037601,48,48,1.0,73711.0
27123037604,10,10,1.0,51127.0
27123040503,1,1,1.0,95769.0
27123040605,7,7,1.0,105750.0
27123040606,7,7,1.0,48140.0
27123040704,25,25,1.0,78750.0
27123040804,3,3,1.0,145147.0
27123041107,2,2,1.0,63952.0
27123041301,20,20,1.0,97431.0
27123041302,123,123,1.0,70987.0
27123041400,12,12,1.0,85543.0
27123041500,2,2,1.0,108136.0
27123041601,1,1,1.0,86458.0
27123041602,2,2,1.0,70753.0
27123041700,10,10,1.0,90438.0
27123041800,23,23,1.0,90170.0
27123041900,32,32,1.0,117575.0
27123042001,32,32,1.0,57621.0
27123042002,2,2,1.0,73931.0
27123042101,5,5,1.0,55160.0
27123042102,4,4,1.0,99615.0
27123042202,19,19,1.0,80625.0
27123042401,29,29,1.0,74128.0
27123042800,47,47,1.0,40850.0
27123042900,13,13,1.0,97705.0
27123043001,16,16,1.0,122529.0
27123043002,4,4,1.0,108375.0
27123980000,2,2,1.0,-666666666.0
