tract_fips,n_points,n_covered,coverage_rate,median_income
53033000101,13,13,1.0,65804
53033000102,22,22,1.0,84680
53033000201,37,37,1.0,90083
53033000202,17,17,1.0,118699
53033000300,7,7,1.0,118638
53033000402,29,29,1.0,87061
53033000403,11,11,1.0,50438
53033000404,14,14,1.0,44214
53033000500,6,6,1.0,176719
53033000601,13,13,1.0,94483
53033000602,50,50,1.0,96795
53033000700,40,40,1.0,88899
53033000800,28,28,1.0,130313
53033000900,8,8,1.0,132188
53033001000,20,20,1.0,118125
53033001100,25,25,1.0,136900
53033001201,75,75,1.0,44215
53033001202,23,23,1.0,76556
53033001300,34,34,1.0,83816
53033001400,35,35,1.0,125071
53033001500,7,7,1.0,187143
53033001600,21,21,1.0,219583
53033001701,12,12,1.0,93048
53033001702,16,16,1.0,121440
53033001800,52,52,1.0,113583
53033001900,53,53,1.0,134602
53033002000,11,11,1.0,145352
53033002100,15,15,1.0,141743
53033002200,23,23,1.0,165750
53033002400,2,2,1.0,164948
53033002500,1,1,1.0,152451
53033002600,16,16,1.0,180875
53033002700,68,68,1.0,211088
53033002800,25,25,1.0,145438
53033002900,16,16,1.0,128167
53033003000,39,39,1.0,157668
53033003100,37,37,1.0,179039
53033003201,34,34,1.0,121062
53033003202,45,45,1.0,159803
53033003301,37,37,1.0,132339
53033003302,25,25,1.0,157740
53033003400,23,23,1.0,155450
53033003500,52,52,1.0,126927
53033003601,23,23,1.0,117672
53033003602,21,21,1.0,89808
53033003800,2,2,1.0,136932
53033003900,2,2,1.0,194719
53033004000,28,28,1.0,160184
53033004101,51,51,1.0,250001
53033004102,47,47,1.0,196728
53033004201,52,52,1.0,176250
53033004202,24,24,1.0,159464
53033004301,24,24,1.0,95938
53033004302,11,11,1.0,43472
53033004401,39,39,1.0,142045
53033004402,3,3,1.0,59351
53033004500,21,21,1.0,143750
53033004600,57,57,1.0,152727
53033004701,36,36,1.0,101516
53033004702,11,11,1.0,130833
53033004703,60,60,1.0,156350
53033004800,35,35,1.0,158816
53033004901,30,30,1.0,120216
53033004902,29,29,1.0,118460
53033005000,38,38,1.0,115761
