run_id,backbone,src,dst,ablation,seed,target,n,ps_prevalence,overture_prevalence,auroc_vs_ps,auroc_vs_overture,ap_vs_ps,ap_vs_overture,delta_auroc
clip__cross_city__dc_to_seattle__tier1__full__seed41,clip,dc,seattle,full,41,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.6679342374651331,0.7475040397045245,0.9097864025008409,0.9912484883620138,-0.07956980223939136
clip__cross_city__dc_to_seattle__tier1__full__seed41,clip,dc,seattle,full,41,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6787748060253158,0.6162886139414524,0.04086087674006271,0.6477001807474505,0.06248619208386341
clip__cross_city__dc_to_seattle__tier1__full__seed42,clip,dc,seattle,full,42,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.7009246663704802,0.7842196637426901,0.9238922397492649,0.9927847235289887,-0.08329499737220991
clip__cross_city__dc_to_seattle__tier1__full__seed42,clip,dc,seattle,full,42,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6471338315317033,0.5689634622281291,0.04013932057490575,0.6134966499529688,0.07817036930357424
clip__cross_city__dc_to_seattle__tier1__full__seed43,clip,dc,seattle,full,43,overture_sidewalk_present,3313,0.8614548747358889,0.9806821611832176,0.7021071217554995,0.8114876692828563,0.9281500079494465,0.9945059110857726,-0.10938054752735682
clip__cross_city__dc_to_seattle__tier1__full__seed43,clip,dc,seattle,full,43,overture_crosswalk_present,4818,0.024076380240763803,0.5703611457036114,0.6710992387685357,0.5710126468788895,0.040049152574363436,0.6099085336267468,0.10008659188964619
clip__cross_city__msp_to_seattle__tier1__full__seed41,clip,msp,seattle,full,41,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.6211383861529994,0.7303450660928374,0.9036953832860197,0.9904822981565518,-0.10920667993983801
clip__cross_city__msp_to_seattle__tier1__full__seed41,clip,msp,seattle,full,41,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.6211327747341283,0.5629248706934338,0.036577594693181226,0.6222580043401343,0.058207904040694536
clip__cross_city__msp_to_seattle__tier1__full__seed42,clip,msp,seattle,full,42,overture_sidewalk_present,3317,0.8616219475429605,0.9807054567380162,0.6182393647918697,0.7491041922840455,0.8994923867050435,0.9909669264847883,-0.13086482749217576
clip__cross_city__msp_to_seattle__tier1__full__seed42,clip,msp,seattle,full,42,overture_crosswalk_present,4824,0.02404643449419569,0.5700663349917081,0.6500985117042158,0.585637503287455,0.03933373170013897,0.6367723485918757,0.06446100841676083
