point_id,city,dc_official_sidewalk_present,dist_to_sidewalk_m
0,dc,0,
1,dc,0,
10,dc,0,
100,dc,1,0.0
1000,dc,1,0.0
1001,dc,1,0.0
1002,dc,1,0.0
1003,dc,1,0.0
1004,dc,1,0.0
1005,dc,1,0.0
1006,dc,1,1.1893941901535152
1007,dc,1,0.0
1008,dc,1,0.0
1009,dc,1,1.583481195226676
101,dc,1,0.0
1010,dc,1,1.751025516787629
1011,dc,1,0.0
1012,dc,1,2.1331059057142867
1013,dc,1,0.0
1014,dc,1,2.1132376024484705
1015,dc,1,0.0
1016,dc,1,0.0
1017,dc,1,0.0
1018,dc,1,0.0
1019,dc,1,0.0
102,dc,1,0.0
1020,dc,1,0.0
1021,dc,1,0.0
1022,dc,1,0.0
1023,dc,1,1.9636012007796595
1024,dc,1,0.0
1025,dc,1,0.0
1026,dc,1,0.0
1027,dc,1,0.0
1028,dc,1,0.0
1029,dc,1,1.254205240188364
103,dc,0,
1030,dc,1,0.0
1031,dc,1,0.0
1032,dc,1,0.0
1033,dc,1,0.0
1034,dc,1,0.0
1035,dc,1,0.0
1036,dc,1,0.9717100990315777
1037,dc,1,0.0
1038,dc,1,1.4750634093650286
1039,dc,1,0.0
104,dc,1,0.0
1040,dc,1,0.0
1041,dc,1,1.6707804409628115
1042,dc,1,0.0
1043,dc,1,0.0
1044,dc,1,0.0
1045,dc,1,0.0
1046,dc,1,0.0
1047,dc,1,0.0
1048,dc,1,0.0
1049,dc,1,0.0
105,dc,1,0.0
1050,dc,1,0.0
1051,dc,1,0.0
1052,dc,1,0.0
1053,dc,1,0.0
1054,dc,1,0.0
1055,dc,1,4.759948713296719
1056,dc,1,0.0
1057,dc,1,2.1862875255329857
1058,dc,1,0.0
1059,dc,1,0.0
1060,dc,1,0.0
1061,dc,1,0.0
1062,dc,1,2.7246395165824646
1063,dc,1,0.0
1064,dc,1,0.0
1065,dc,1,0.0
1066,dc,1,0.0
1067,dc,1,0.0
1068,dc,1,2.3004922904470066
1069,dc,1,1.9252722577230972
107,dc,1,7.903154950022702
1070,dc,1,1.4834547788913135
1071,dc,1,0.0
1072,dc,1,1.346047959655015
1073,dc,1,0.0
1074,dc,1,0.0
1075,dc,1,0.0
1076,dc,1,0.0
1077,dc,1,0.0
1078,dc,1,1.2338023349319533
1079,dc,1,0.0
108,dc,1,0.0
1080,dc,1,1.8827727901933315
1081,dc,1,0.0
1082,dc,1,0.0
1083,dc,1,0.0
1084,dc,1,1.7986247978254768
1085,dc,1,0.8245207413820633
1086,dc,1,4.317072444002964
1087,dc,1,0.0
1088,dc,1,0.0
1089,dc,1,11.61304190957852
109,dc,1,0.0
1090,dc,1,0.0
1091,dc,1,0.0
1092,dc,1,2.186615173282785
1093,dc,1,0.0
1094,dc,1,0.0
1095,dc,1,19.71817149957897
1096,dc,1,1.2203192834768108
1097,dc,1,0.0
1098,dc,1,0.0
1099,dc,1,5.850725409449641
11,dc,0,
110,dc,1,0.0
1100,dc,1,0.0
1101,dc,1,1.6717812219193235
1102,dc,1,8.266639791630109
1103,dc,1,2.247372085257404
1104,dc,1,2.304756781193722
1105,dc,1,0.0
1106,dc,1,0.0
1107,dc,1,0.0
1108,dc,1,0.0
1109,dc,1,1.7802855824410768
111,dc,1,5.739183898438749
1110,dc,1,0.0
1111,dc,1,0.0
1112,dc,1,0.0
1113,dc,1,1.9801301997557366
1114,dc,1,0.0
1115,dc,1,0.0
1116,dc,1,0.0
1117,dc,1,0.0
1118,dc,1,6.703347829107063
1119,dc,0,
112,dc,1,8.069165287050573
1120,dc,1,0.0
1121,dc,1,0.8470209638879704
1122,dc,1,1.5978163452229956
1123,dc,1,4.875869415169192
1124,dc,1,0.0
1125,dc,1,1.4915055265226285
1126,dc,1,0.0
1127,dc,1,3.1336685229112087
