point_id,city,n_headings,sidewalk_frac_mean,crosswalk_frac_mean,vegetation_frac_mean,sky_frac_mean,building_frac_mean,sidewalk_frac_max,crosswalk_frac_max,vegetation_frac_max,building_frac_max,sidewalk_width_px,street_mask_coverage_mean,naip_vegetation_frac,naip_building_frac,naip_road_frac,naip_water_frac,naip_mask_coverage,naip_n_masks,naip_missing,naip_unclassified,stops_400m,trips_per_hr_400m,stops_800m,trips_per_hr_800m,lat,lon,ca_sidewalk,ca_crosswalk,ca_tree_canopy,ca_transit_stop,agree_sidewalk,agree_crosswalk,agree_tree_canopy,agree_transit_stop,agreement_score,agreement_tier,NatWalkInd,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,D1A,D1B,D2B_E8MIX,D3A,D3B,D3APO,D4A,D4C,D4D,LPA_CrudePrev,OBESITY_CrudePrev,overture_sidewalk_present,overture_intersection_count_200m,overture_building_footprint_frac_100m,overture_crosswalk_present
0,seattle,4.0,0.035259,0.082799,0.060374,0.244717,0.08583,0.08932,0.321075,0.142434,0.203908,242.75,0.510656,0.005158,0.0,0.073533,0.0,0.177412,4.0,0.0,0.0,11,49.5,24,114.125,47.7247103,-122.3481515,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.333333333333332,3.0,11.0,20.0,16.0,18.35989645916529,24.62955065923773,0.8613965380579313,23.945294130451053,230.3731246487761,23.945294130451053,469.39,46.0,453.99553311,,,1.0,63.0,0.1017,1
1,seattle,4.0,0.004858,0.001162,0.002375,0.325435,0.173609,0.019433,0.004647,0.004913,0.303872,109.5,0.507505,0.0,0.174391,0.87106,0.0,0.872909,2.0,0.0,0.0,9,44.688,23,110.0,47.7248675,-122.3465665,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.333333333333332,12.0,16.0,19.0,16.0,14.824763998668203,22.0143694898256,0.752872254668764,24.31762735632111,210.34854994189868,21.78047400754652,426.48,56.67,244.843534593,,,1.0,77.0,0.428,1
10,seattle,4.0,0.002004,0.0,0.080352,0.307986,0.108045,0.004812,0.0,0.212118,0.205453,92.75,0.510886,0.0,0.031897,0.051177,0.0,0.089657,3.0,0.0,0.0,7,37.125,19,92.812,47.7264421,-122.3553868,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.6667,partial,14.333333333333332,3.0,11.0,20.0,16.0,18.35989645916529,24.62955065923773,0.8613965380579313,23.945294130451053,230.3731246487761,23.945294130451053,469.39,46.0,453.99553311,,,1.0,25.0,0.2993,0
100,seattle,4.0,0.032048,0.0,0.023204,0.324707,0.01654,0.082435,0.0,0.057933,0.02989,237.5,0.39665,0.251459,0.004662,0.0,0.0,0.256121,2.0,0.0,0.0,0,0.0,4,15.125,47.7130092,-122.3648969,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,high_confidence,11.166666666666668,3.0,4.0,14.0,16.0,3.3957137037821727,6.9312509130142,0.6223659728744494,18.76389123623401,96.8886770974988,18.76389123623401,446.59,8.0,31.8450869671,11.0,22.1,0.0,3.0,0.2157,0
1000,seattle,4.0,0.175258,0.0,0.123603,0.290699,0.031297,0.316952,0.0,0.307758,0.054253,439.0,0.638782,0.0,0.0,0.409896,0.0,0.449972,3.0,0.0,0.0,6,30.812,29,107.375,47.6715779,-122.3902202,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,26.0,0.354,0
1001,seattle,4.0,0.074076,0.053586,0.084027,0.329226,0.017828,0.234863,0.16394,0.138203,0.029787,386.5,0.583978,0.0,0.700205,0.0,0.0,0.703559,2.0,0.0,0.0,5,17.562,27,87.188,47.6715866,-122.3929983,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,14.166666666666666,3.0,6.0,19.0,19.0,6.124527427464865,14.795679661538832,0.7708036670144927,28.9276332914996,206.57209939027783,28.9276332914996,237.38,26.67,359.238255786,,,1.0,27.0,0.2502,0
1002,seattle,4.0,0.148624,0.003418,0.06865,0.301394,0.037236,0.234863,0.013672,0.13632,0.10178,376.25,0.58437,0.0,0.0,0.0,0.0,0.616517,1.0,0.0,1.0,3,11.812,27,87.188,47.6717265,-122.3929975,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.166666666666666,3.0,6.0,19.0,19.0,6.124527427464865,14.795679661538832,0.7708036670144927,28.9276332914996,206.57209939027783,28.9276332914996,237.38,26.67,359.238255786,,,1.0,38.0,0.2275,0
1003,seattle,4.0,0.113077,0.0,0.185753,0.232159,0.003877,0.216005,0.0,0.271532,0.006256,290.17,0.564242,0.0,0.0,0.0,0.0,0.256139,1.0,0.0,1.0,11,8.0,20,37.312,47.6717333,-122.3984814,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,17.0,16.0,16.0,19.0,16.0,4.553628234650619,11.202194902698194,0.7705739624272782,28.136990802468045,181.17017058036856,28.136990802468045,460.0,6.0,25.4684994138,,,1.0,29.0,0.2049,0
1004,seattle,4.0,0.164893,0.0,0.136485,0.32163,0.003658,0.358915,0.0,0.271532,0.006521,372.88,0.649615,0.0,0.0,0.0,0.0,0.282986,1.0,0.0,1.0,11,8.0,20,37.312,47.6717432,-122.3982407,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.166666666666666,3.0,6.0,19.0,19.0,6.124527427464865,14.795679661538832,0.7708036670144927,28.9276332914996,206.57209939027783,28.9276332914996,237.38,26.67,359.238255786,,,1.0,29.0,0.2135,0
1005,seattle,4.0,0.116729,0.005387,0.147965,0.302606,0.003902,0.157682,0.021549,0.271532,0.008251,243.62,0.591346,0.0,0.0,0.0,0.0,0.219499,1.0,0.0,1.0,11,8.0,21,42.062,47.6717553,-122.3982155,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,14.166666666666666,3.0,6.0,19.0,19.0,6.124527427464865,14.795679661538832,0.7708036670144927,28.9276332914996,206.57209939027783,28.9276332914996,237.38,26.67,359.238255786,,,1.0,29.0,0.2129,0
1006,seattle,4.0,0.174326,0.02578,0.133065,0.266664,0.010619,0.252985,0.097841,0.191158,0.014341,350.75,0.635938,0.0,0.0,0.064479,0.0,0.298235,2.0,0.0,0.0,11,2.75,21,37.562,47.6720971,-122.3985133,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,17.0,16.0,16.0,19.0,16.0,4.553628234650619,11.202194902698194,0.7705739624272782,28.136990802468045,181.17017058036856,28.136990802468045,460.0,6.0,25.4684994138,,,1.0,27.0,0.2359,0
1007,seattle,4.0,0.050657,0.017268,0.062717,0.370063,0.035484,0.099432,0.036467,0.111185,0.062553,138.83,0.563587,0.0,0.0,0.0,0.334569,0.335642,2.0,0.0,0.0,3,11.812,27,87.188,47.6721758,-122.3929955,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.166666666666666,3.0,6.0,19.0,19.0,6.124527427464865,14.795679661538832,0.7708036670144927,28.9276332914996,206.57209939027783,28.9276332914996,237.38,26.67,359.238255786,,,1.0,42.0,0.1905,0
1008,seattle,4.0,0.253636,0.018731,0.053335,0.262498,0.031339,0.503236,0.074924,0.096388,0.077077,693.67,0.619887,0.0,0.034043,0.211031,0.29709,0.513631,4.0,0.0,0.0,0,0.0,14,14.25,47.6722484,-122.4061507,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.6667,partial,17.0,16.0,16.0,19.0,16.0,4.553628234650619,11.202194902698194,0.7705739624272782,28.136990802468045,181.17017058036856,28.136990802468045,460.0,6.0,25.4684994138,,,1.0,9.0,0.1302,0
1009,seattle,4.0,0.111409,0.0,0.052438,0.174086,0.004011,0.225134,0.0,0.183096,0.004671,267.62,0.370014,0.0,0.117965,0.0,0.697084,0.716392,5.0,0.0,0.0,2,9.625,27,87.188,47.6723928,-122.3918576,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.6667,partial,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,43.0,0.2542,0
101,seattle,4.0,0.022773,0.0,0.052315,0.328482,0.105141,0.091091,0.0,0.189362,0.264886,344.0,0.508903,0.095708,0.0,0.030228,0.0,0.124214,3.0,0.0,0.0,4,15.125,12,46.062,47.719574,-122.3581571,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.666666666666668,11.0,5.0,17.0,19.0,8.622615395659738,22.539115592375683,0.4722567125141708,25.760135700380825,143.02403224377073,23.368359649542512,166.3,26.0,166.493164913,12.5,22.0,1.0,11.0,0.1405,0
1010,seattle,4.0,0.118708,0.019972,0.090896,0.208787,0.005469,0.254332,0.079889,0.183096,0.0084,276.88,0.445225,0.0,0.028461,0.0,0.0,0.113591,2.0,0.0,0.0,2,9.625,27,87.188,47.6724697,-122.3918565,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3333,disagreement,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,43.0,0.2237,0
1011,seattle,4.0,0.077631,0.0,0.110811,0.276863,0.018429,0.167929,0.0,0.280897,0.027464,218.67,0.505776,0.467531,0.0,0.473969,0.472121,0.476476,3.0,0.0,0.0,9,2.25,21,37.562,47.6725468,-122.3984845,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,17.0,16.0,16.0,19.0,16.0,4.553628234650619,11.202194902698194,0.7705739624272782,28.136990802468045,181.17017058036856,28.136990802468045,460.0,6.0,25.4684994138,,,1.0,22.0,0.2136,0
1012,seattle,4.0,0.115864,0.001057,0.066597,0.318546,0.003293,0.15032,0.004229,0.109829,0.006372,237.75,0.535352,0.192345,0.0,0.196503,0.0,0.197206,2.0,0.0,0.0,1,4.75,28,87.438,47.6725635,-122.3927361,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.6667,partial,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,44.0,0.2076,0
1013,seattle,4.0,0.140436,0.0,0.008366,0.256072,0.047082,0.301149,0.0,0.023693,0.103754,321.12,0.481931,0.06585,0.080342,0.390589,0.0,0.516075,6.0,0.0,0.0,2,9.625,29,92.188,47.6728261,-122.3925066,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.6667,partial,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,48.0,0.1957,0
1014,seattle,4.0,0.054024,0.01597,0.055156,0.292862,0.007124,0.12318,0.030489,0.097057,0.009909,157.17,0.444037,0.50197,0.0,0.0,0.181803,0.508337,2.0,0.0,0.0,1,4.75,29,92.188,47.6729458,-122.3929006,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,46.0,0.2139,1
1015,seattle,4.0,0.084689,0.026531,0.069216,0.348341,0.019799,0.222994,0.103094,0.132925,0.034472,310.83,0.567672,0.0,0.0,0.0,0.0,0.296729,1.0,0.0,1.0,6,28.938,20,98.312,47.6730339,-122.3877954,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,26.0,0.2743,0
1016,seattle,4.0,0.180223,0.011753,0.124406,0.265372,0.010246,0.283138,0.034264,0.24441,0.028685,435.5,0.613739,0.0,0.0,0.0,0.217966,0.280001,2.0,0.0,0.0,6,28.938,29,91.438,47.673036,-122.3900513,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,20.0,0.1677,1
1017,seattle,4.0,0.180936,0.002988,0.123765,0.248598,0.003869,0.256788,0.008867,0.176695,0.008028,379.5,0.587872,0.476341,0.032158,0.524191,0.0,0.554816,4.0,0.0,0.0,1,4.75,30,92.438,47.6731394,-122.3929016,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,46.0,0.2057,1
1018,seattle,4.0,0.188397,0.0,0.085702,0.344256,0.029351,0.34528,0.0,0.124229,0.075224,498.62,0.667787,0.0,0.0,0.0,0.769445,0.770536,2.0,0.0,0.0,4,19.312,15,82.688,47.6739102,-122.387774,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.6667,partial,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,29.0,0.2772,0
1019,seattle,4.0,0.113155,0.0,0.047205,0.274622,0.033946,0.206751,0.0,0.11302,0.070723,239.88,0.499132,0.0,0.0,0.0,0.165264,0.16604,2.0,0.0,0.0,4,19.312,24,79.625,47.674494,-122.3900482,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,25.0,0.2906,0
102,seattle,4.0,0.069615,0.0,0.059152,0.352321,0.102456,0.178063,0.0,0.189362,0.264886,605.5,0.585452,0.12288,0.0,0.0,0.0,0.145307,2.0,0.0,0.0,4,15.125,12,46.062,47.7195768,-122.3583688,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,14.666666666666668,11.0,5.0,17.0,19.0,8.622615395659738,22.539115592375683,0.4722567125141708,25.760135700380825,143.02403224377073,23.368359649542512,166.3,26.0,166.493164913,12.5,22.0,1.0,11.0,0.149,0
1020,seattle,4.0,0.051688,0.0,0.012315,0.26907,0.081157,0.206751,0.0,0.039356,0.130411,471.0,0.434624,0.0,0.0,0.288207,0.0,0.292031,2.0,0.0,0.0,4,19.312,24,79.625,47.6746418,-122.3900493,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,high_confidence,16.833333333333332,5.0,18.0,20.0,19.0,18.85814387820872,30.53223294567126,0.8170681555903309,33.87779445505502,293.56977445858786,33.87779445505502,210.56,47.33,631.431830272,,,1.0,27.0,0.2949,0
