point_id,metro,stops_400m,trips_per_hr_400m,stops_800m,trips_per_hr_800m
PGH_0,Pittsburgh,6,7.688,28,65.25
PGH_1,Pittsburgh,6,7.688,28,65.25
PGH_2,Pittsburgh,9,15.375,27,58.25
PGH_3,Pittsburgh,9,17.312,28,61.375
PGH_4,Pittsburgh,10,18.625,26,56.938
PGH_5,Pittsburgh,10,18.625,28,61.375
PGH_6,Pittsburgh,10,18.625,26,56.938
PGH_7,Pittsburgh,10,20.562,29,64.625
PGH_8,Pittsburgh,11,19.875,26,56.938
PGH_9,Pittsburgh,11,21.875,28,63.312
PGH_10,Pittsburgh,13,24.312,28,57.625
PGH_11,Pittsburgh,9,29.938,33,89.875
PGH_12,Pittsburgh,9,29.938,33,89.875
PGH_13,Pittsburgh,9,29.938,33,89.875
PGH_14,Pittsburgh,7,22.375,33,87.75
PGH_15,Pittsburgh,8,25.625,34,93.125
PGH_16,Pittsburgh,7,22.375,33,87.75
PGH_17,Pittsburgh,8,25.625,34,93.125
PGH_18,Pittsburgh,7,22.375,33,87.75
PGH_19,Pittsburgh,8,25.5,32,85.562
PGH_20,Pittsburgh,7,22.375,34,93.125
PGH_21,Pittsburgh,8,25.5,33,87.75
PGH_22,Pittsburgh,8,25.5,32,85.562
PGH_23,Pittsburgh,8,25.5,32,85.562
PGH_24,Pittsburgh,8,25.5,33,87.75
PGH_25,Pittsburgh,8,25.5,31,83.375
PGH_26,Pittsburgh,8,25.5,32,85.562
PGH_27,Pittsburgh,8,25.5,32,85.562
PGH_28,Pittsburgh,8,25.5,32,85.562
PGH_29,Pittsburgh,13,37.75,31,78.625
PGH_30,Pittsburgh,7,12.562,25,49.438
PGH_31,Pittsburgh,7,12.562,25,49.438
PGH_32,Pittsburgh,8,14.125,23,43.25
PGH_33,Pittsburgh,9,7.375,25,52.938
PGH_34,Pittsburgh,7,6.688,23,42.438
PGH_35,Pittsburgh,7,6.688,24,47.5
PGH_36,Pittsburgh,7,6.688,23,42.438
PGH_37,Pittsburgh,9,7.375,25,52.938
PGH_38,Pittsburgh,9,7.375,25,52.938
PGH_39,Pittsburgh,9,7.375,25,52.938
PGH_40,Pittsburgh,9,7.375,25,52.938
PGH_41,Pittsburgh,9,7.375,25,52.938
PGH_42,Pittsburgh,9,7.375,26,58.312
PGH_43,Pittsburgh,9,7.375,26,58.312
PGH_44,Pittsburgh,10,9.688,24,50.812
PGH_45,Pittsburgh,10,9.688,23,45.75
PGH_46,Pittsburgh,10,9.688,24,51.188
PGH_47,Pittsburgh,11,10.0,27,63.812
PGH_48,Pittsburgh,9,9.312,20,34.562
PGH_49,Pittsburgh,9,9.312,21,39.938
PGH_50,Pittsburgh,9,9.312,23,50.812
PGH_51,Pittsburgh,9,9.312,20,34.562
PGH_52,Pittsburgh,9,9.312,22,45.375
PGH_53,Pittsburgh,9,9.312,22,45.375
PGH_54,Pittsburgh,9,9.312,23,50.812
PGH_55,Pittsburgh,9,9.312,19,29.5
PGH_56,Pittsburgh,9,9.312,21,40.312
PGH_57,Pittsburgh,9,9.312,23,50.75
PGH_58,Pittsburgh,9,9.312,23,50.75
PGH_59,Pittsburgh,11,10.0,30,71.75
PGH_60,Pittsburgh,9,9.312,22,45.688
PGH_61,Pittsburgh,9,9.312,21,40.312
PGH_62,Pittsburgh,9,9.312,25,56.562
PGH_63,Pittsburgh,9,9.312,25,56.875
PGH_64,Pittsburgh,8,9.0,20,35.25
PGH_65,Pittsburgh,8,9.0,20,35.25
PGH_66,Pittsburgh,8,9.0,25,59.75
PGH_67,Pittsburgh,13,9.75,32,80.438
PGH_68,Pittsburgh,6,7.875,24,48.125
PGH_69,Pittsburgh,6,7.875,24,48.125
PGH_70,Pittsburgh,5,6.562,23,42.75
PGH_71,Pittsburgh,6,7.875,24,48.125
PGH_72,Pittsburgh,4,5.25,22,45.188
PGH_73,Pittsburgh,4,5.25,23,49.438
PGH_74,Pittsburgh,4,5.25,23,49.438
PGH_75,Pittsburgh,4,5.25,34,81.688
PGH_76,Pittsburgh,4,5.25,21,43.188
PGH_77,Pittsburgh,4,5.25,21,43.188
PGH_78,Pittsburgh,4,5.25,23,49.0
PGH_79,Pittsburgh,5,5.625,34,81.688
PGH_80,Pittsburgh,4,5.25,34,81.688
PGH_81,Pittsburgh,4,5.25,20,42.812
PGH_82,Pittsburgh,4,5.25,20,42.812
PGH_83,Pittsburgh,4,5.25,34,81.688
PGH_84,Pittsburgh,7,11.375,34,85.438
PGH_85,Pittsburgh,7,11.375,34,85.438
PGH_86,Pittsburgh,4,5.25,21,48.25
PGH_87,Pittsburgh,4,5.25,22,48.625
PGH_88,Pittsburgh,5,10.625,36,90.0
PGH_89,Pittsburgh,4,9.312,36,90.0
PGH_90,Pittsburgh,3,3.938,21,47.875
PGH_91,Pittsburgh,4,9.312,36,90.0
PGH_92,Pittsburgh,2,2.625,22,53.312
PGH_93,Pittsburgh,4,5.25,21,47.875
PGH_94,Pittsburgh,2,2.625,22,53.312
PGH_95,Pittsburgh,4,5.25,21,47.875
PGH_96,Pittsburgh,3,8.0,35,84.938
PGH_97,Pittsburgh,3,3.938,22,53.312
PGH_98,Pittsburgh,4,5.25,21,47.875
PGH_99,Pittsburgh,4,5.25,22,53.312
PGH_100,Pittsburgh,4,5.25,22,53.312
PGH_101,Pittsburgh,4,5.25,20,47.5
PGH_102,Pittsburgh,4,5.25,22,53.312
PGH_103,Pittsburgh,4,5.25,20,47.5
PGH_104,Pittsburgh,14,44.312,37,97.812
PGH_105,Pittsburgh,13,43.938,36,96.5
PGH_106,Pittsburgh,4,5.25,20,47.5
PGH_107,Pittsburgh,4,5.25,20,47.5
PGH_108,Pittsburgh,4,5.25,21,50.75
PGH_109,Pittsburgh,13,44.312,36,93.188
PGH_110,Pittsburgh,13,44.312,36,93.188
PGH_111,Pittsburgh,4,5.25,21,48.5
PGH_112,Pittsburgh,4,5.25,22,53.875
PGH_113,Pittsburgh,12,43.938,34,91.062
PGH_114,Pittsburgh,14,46.5,36,94.062
PGH_115,Pittsburgh,5,6.562,21,48.5
PGH_116,Pittsburgh,5,6.562,21,48.5
PGH_117,Pittsburgh,13,46.125,35,92.375
PGH_118,Pittsburgh,5,6.562,21,48.5
PGH_119,Pittsburgh,5,6.562,22,49.812
PGH_120,Pittsburgh,5,6.562,23,51.062
PGH_121,Pittsburgh,5,6.562,22,49.812
PGH_122,Pittsburgh,5,6.562,22,49.812
PGH_123,Pittsburgh,5,6.562,22,49.812
PGH_124,Pittsburgh,5,6.562,22,49.812
PGH_125,Pittsburgh,12,41.062,41,105.75
PGH_126,Pittsburgh,12,41.062,41,105.75
PGH_127,Pittsburgh,12,41.062,38,97.812
PGH_128,Pittsburgh,10,38.25,32,89.375
PGH_129,Pittsburgh,5,6.562,22,51.688
PGH_130,Pittsburgh,5,6.562,22,51.688
PGH_131,Pittsburgh,5,6.562,22,51.688
PGH_132,Pittsburgh,12,41.062,37,94.938
PGH_133,Pittsburgh,5,6.562,22,51.688
PGH_134,Pittsburgh,12,41.062,37,94.938
PGH_135,Pittsburgh,5,6.562,22,51.688
PGH_136,Pittsburgh,5,6.562,22,51.688
PGH_137,Pittsburgh,12,41.062,37,94.938
PGH_138,Pittsburgh,5,6.562,22,51.688
PGH_139,Pittsburgh,12,41.062,37,94.938
PGH_140,Pittsburgh,12,46.125,35,89.875
PGH_141,Pittsburgh,12,46.125,35,89.875
PGH_142,Pittsburgh,11,38.938,34,88.062
PGH_143,Pittsburgh,11,38.938,34,88.062
