point_id,city,heading,sidewalk_present,crosswalk_present
0,msp,0,0,0
0,msp,90,0,0
0,msp,180,0,0
0,msp,270,0,0
1,msp,0,0,0
1,msp,90,0,0
1,msp,180,0,0
1,msp,270,0,0
2,msp,0,1,0
2,msp,90,1,0
2,msp,180,1,0
2,msp,270,1,0
3,msp,0,0,0
3,msp,90,0,0
3,msp,180,0,0
3,msp,270,0,0
4,msp,0,0,0
4,msp,90,0,0
4,msp,180,0,0
4,msp,270,0,0
5,msp,0,0,0
5,msp,90,0,0
5,msp,180,0,0
5,msp,270,0,0
6,msp,0,0,0
6,msp,90,0,0
6,msp,180,0,0
6,msp,270,0,0
7,msp,0,0,0
7,msp,90,0,0
7,msp,180,0,0
7,msp,270,0,0
8,msp,0,0,0
8,msp,90,0,0
8,msp,180,0,0
8,msp,270,0,0
9,msp,0,0,0
9,msp,90,0,0
9,msp,180,0,0
9,msp,270,0,0
10,msp,0,0,0
10,msp,90,0,0
10,msp,180,0,0
10,msp,270,0,0
11,msp,0,1,0
11,msp,90,1,0
11,msp,180,1,0
11,msp,270,1,0
12,msp,0,0,0
12,msp,90,0,0
12,msp,180,1,0
12,msp,270,1,0
13,msp,0,0,0
13,msp,90,0,0
13,msp,180,1,0
13,msp,270,1,0
14,msp,0,0,0
14,msp,90,0,0
14,msp,180,0,0
14,msp,270,0,0
15,msp,0,0,0
15,msp,90,0,0
15,msp,180,0,0
15,msp,270,0,0
16,msp,0,1,0
16,msp,90,1,0
16,msp,180,1,0
16,msp,270,1,0
17,msp,0,0,0
17,msp,90,0,0
17,msp,180,1,0
17,msp,270,1,0
18,msp,0,0,0
18,msp,90,0,0
18,msp,180,0,0
18,msp,270,0,0
19,msp,0,0,0
19,msp,90,0,0
19,msp,180,0,0
19,msp,270,0,0
20,msp,0,0,0
20,msp,90,0,0
20,msp,180,0,0
20,msp,270,0,0
21,msp,0,0,0
21,msp,90,0,0
21,msp,180,0,0
21,msp,270,0,0
22,msp,0,0,0
22,msp,90,0,0
22,msp,180,0,0
22,msp,270,0,0
23,msp,0,0,0
23,msp,90,0,0
23,msp,180,0,0
23,msp,270,0,0
24,msp,0,0,0
24,msp,90,0,0
24,msp,180,0,0
24,msp,270,0,0
25,msp,0,0,0
25,msp,90,0,0
25,msp,180,0,0
25,msp,270,0,0
26,msp,0,0,0
26,msp,90,0,0
26,msp,180,0,0
26,msp,270,0,0
27,msp,0,0,0
27,msp,90,0,0
27,msp,180,0,0
27,msp,270,0,0
28,msp,0,0,0
28,msp,90,0,0
28,msp,180,0,0
28,msp,270,0,0
29,msp,0,0,0
29,msp,90,0,0
29,msp,180,0,0
29,msp,270,0,0
30,msp,0,0,0
30,msp,90,0,0
30,msp,180,0,0
30,msp,270,0,0
31,msp,0,0,0
31,msp,90,0,0
31,msp,180,0,0
31,msp,270,0,0
32,msp,0,0,0
32,msp,90,0,0
32,msp,180,0,0
32,msp,270,0,0
33,msp,0,0,0
33,msp,90,0,0
33,msp,180,0,0
33,msp,270,0,0
34,msp,0,0,0
34,msp,90,0,0
34,msp,180,0,0
34,msp,270,0,0
35,msp,0,0,0
35,msp,90,0,0
35,msp,180,0,0
35,msp,270,0,0
36,msp,0,0,0
36,msp,90,0,0
36,msp,180,0,0
36,msp,270,0,0
37,msp,0,0,0
37,msp,90,0,0
