point_id,metro,state,lat,lon,blockgroup_geoid,tract_geoid,NatWalkInd,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,D1A,D1B,D2B_E8MIX,D3A,D3B,D3APO,D4A,D4C,D4D,LPA_CrudePrev,LPA_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,TotalPopulation,stops_400m,trips_per_hr_400m,stops_800m,trips_per_hr_800m
MSP_0,Minneapolis,MN,45.0428749,-93.2750821,270030512062,27003051206,10.666666666666668,15.0,7.0,7.0,14.0,0.3742018275019383,1.014086952530253,0.5732352090844187,13.264421751918754,28.960356404679715,7.457609097322475,647.76,8.0,5.03516074234,26.4,"(22.9, 30.2)",36.4,"(32.5, 40.4)",2562.0,2,2.188,2,2.188
MSP_1,Minneapolis,MN,45.042878,-93.2753565,270030512062,27003051206,10.666666666666668,15.0,7.0,7.0,14.0,0.3742018275019383,1.014086952530253,0.5732352090844187,13.264421751918754,28.960356404679715,7.457609097322475,647.76,8.0,5.03516074234,26.4,"(22.9, 30.2)",36.4,"(32.5, 40.4)",2562.0,2,2.188,2,2.188
MSP_2,Minneapolis,MN,45.0543557,-93.2787079,270030512062,27003051206,10.666666666666668,15.0,7.0,7.0,14.0,0.3742018275019383,1.014086952530253,0.5732352090844187,13.264421751918754,28.960356404679715,7.457609097322475,647.76,8.0,5.03516074234,26.4,"(22.9, 30.2)",36.4,"(32.5, 40.4)",2562.0,2,2.188,4,4.375
MSP_3,Minneapolis,MN,45.0544701,-93.2787793,270030512062,27003051206,10.666666666666668,15.0,7.0,7.0,14.0,0.3742018275019383,1.014086952530253,0.5732352090844187,13.264421751918754,28.960356404679715,7.457609097322475,647.76,8.0,5.03516074234,26.4,"(22.9, 30.2)",36.4,"(32.5, 40.4)",2562.0,2,2.188,4,4.375
MSP_4,Minneapolis,MN,45.0549315,-93.2738317,270030512062,27003051206,10.666666666666668,15.0,7.0,7.0,14.0,0.3742018275019383,1.014086952530253,0.5732352090844187,13.264421751918754,28.960356404679715,7.457609097322475,647.76,8.0,5.03516074234,26.4,"(22.9, 30.2)",36.4,"(32.5, 40.4)",2562.0,1,1.062,2,2.188
MSP_5,Minneapolis,MN,45.0551717,-93.2734105,270030512062,27003051206,10.666666666666668,15.0,7.0,7.0,14.0,0.3742018275019383,1.014086952530253,0.5732352090844187,13.264421751918754,28.960356404679715,7.457609097322475,647.76,8.0,5.03516074234,26.4,"(22.9, 30.2)",36.4,"(32.5, 40.4)",2562.0,0,0.0,2,2.188
MSP_6,Minneapolis,MN,45.048172,-93.237227,270030515011,27003051501,11.333333333333334,2.0,4.0,14.0,17.0,6.790805221493901,12.466280687274669,0.9709505944546688,24.16163244479094,97.57197109737297,20.66733830126837,370.15,15.33,65.0140529805,34.6,"(30.8, 38.7)",43.8,"(39.6, 48.1)",3335.0,7,6.062,17,18.75
MSP_7,Minneapolis,MN,45.0491738,-93.2378624,270030513022,27003051302,13.166666666666666,11.0,12.0,12.0,16.0,3.393193373152872,8.708846149670993,0.6552393269501464,17.357523625131204,74.41287757567898,14.677032523007025,439.89,9.0,19.8858571822,29.9,"(26.1, 33.6)",38.2,"(34.2, 42.3)",4698.0,4,3.5,19,32.438
MSP_8,Minneapolis,MN,45.0467654,-93.1490121,271230408031,27123040803,10.000000000000002,20.0,20.0,9.0,1.0,0.840194017793181,1.975805970008917,0.8596908629791914,15.947548640330512,47.79544500213056,9.794342120302234,-99999.0,1.33,1.35193411001,,,,,,1,0.625,10,6.375
MSP_9,Minneapolis,MN,45.0467654,-93.1487699,271230408031,27123040803,10.000000000000002,20.0,20.0,9.0,1.0,0.840194017793181,1.975805970008917,0.8596908629791914,15.947548640330512,47.79544500213056,9.794342120302234,-99999.0,1.33,1.35193411001,,,,,,1,0.625,10,6.375
MSP_10,Minneapolis,MN,45.042528,-93.1062398,271230421011,27123042101,13.166666666666668,20.0,17.0,8.0,13.0,1.5917495660494734,3.588989780792869,0.7979447045637755,15.961265183032758,37.67125796365526,8.833507802029683,830.15,6.33,6.44205378512,21.7,"(18.8, 24.8)",32.2,"(29.2, 35.6)",6052.0,4,1.5,8,3.0
MSP_11,Minneapolis,MN,45.0425308,-93.1069955,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_12,Minneapolis,MN,45.0425995,-93.1069868,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
MSP_13,Minneapolis,MN,45.0426308,-93.1071555,271230407042,27123040704,12.5,16.0,13.0,9.0,14.0,2.7497837506878047,5.9782069705989,0.7279921202019891,15.599336307805192,41.37282969848378,10.14376410758655,728.23,2.67,4.08949560547,15.8,"(13.3, 18.6)",29.9,"(26.8, 33.3)",6045.0,4,1.5,8,3.0
