point_id,city,sidewalk_present,crosswalk_present,crosswalk_source,intersection_count_200m,footway_density_200m,building_footprint_frac_100m,crosswalk_present_legacy
0,msp,0,0,osm_nodes,7,0.0,0.0,
1,msp,0,1,osm_nodes,7,0.0,0.0044,
2,msp,1,0,osm_nodes,8,0.000588,0.0,
3,msp,1,0,osm_nodes,8,0.000595,0.0,
4,msp,0,0,osm_nodes,7,0.000883,0.0907,
5,msp,0,0,osm_nodes,2,0.001203,0.0121,
6,msp,0,0,osm_nodes,6,0.001156,0.1054,
7,msp,0,0,osm_nodes,6,0.002888,0.1674,
8,msp,0,0,osm_nodes,14,0.0,0.0621,
9,msp,0,0,osm_nodes,15,0.0,0.0553,
10,msp,1,0,osm_nodes,41,0.003744,0.0659,
11,msp,1,0,osm_nodes,35,0.0021,0.1083,
12,msp,1,0,osm_nodes,35,0.002057,0.0794,
13,msp,1,0,osm_nodes,32,0.001899,0.0645,
14,msp,0,0,osm_nodes,19,0.000975,0.0361,
15,msp,0,0,osm_nodes,24,0.001269,0.0217,
16,msp,1,0,osm_nodes,29,0.00152,0.0433,
17,msp,1,0,osm_nodes,30,0.001545,0.0387,
18,msp,0,0,osm_nodes,35,0.001854,0.0177,
19,msp,0,0,osm_nodes,31,0.001622,0.0177,
20,msp,0,0,osm_nodes,34,0.002347,0.0275,
21,msp,0,0,osm_nodes,34,0.002179,0.0231,
22,msp,0,0,osm_nodes,31,0.001915,0.0057,
23,msp,0,0,osm_nodes,31,0.002454,0.0135,
24,msp,0,0,osm_nodes,31,0.001906,0.0023,
25,msp,0,0,osm_nodes,8,0.0,0.0,
26,msp,0,0,osm_nodes,17,0.0,0.0,
27,msp,0,0,osm_nodes,18,0.0,0.0,
28,msp,0,0,osm_nodes,25,0.0,0.0172,
29,msp,0,0,osm_nodes,26,0.000303,0.0124,
30,msp,0,0,osm_nodes,34,0.001036,0.1113,
31,msp,0,0,osm_nodes,33,0.001307,0.125,
32,msp,0,0,osm_nodes,34,0.000995,0.1254,
33,msp,0,0,osm_nodes,32,0.001363,0.1463,
34,msp,0,0,osm_nodes,31,0.000995,0.173,
35,msp,0,0,osm_nodes,32,0.001034,0.1916,
36,msp,0,0,osm_nodes,32,0.001345,0.1844,
37,msp,0,0,osm_nodes,32,0.001289,0.1924,
38,msp,0,0,osm_nodes,4,0.00187,0.0253,
39,msp,1,0,osm_nodes,16,0.004846,0.0702,
40,msp,0,0,osm_nodes,20,0.004459,0.1267,
41,msp,0,0,osm_nodes,16,0.0,0.1389,
42,msp,0,0,osm_nodes,24,0.003451,0.0987,
43,msp,0,0,osm_nodes,16,0.0,0.0803,
44,msp,0,0,osm_nodes,23,0.001501,0.1132,
45,msp,1,1,osm_nodes,10,0.003185,0.0754,
46,msp,1,1,osm_nodes,9,0.003172,0.0623,
47,msp,1,1,osm_nodes,12,0.01171,0.0268,
48,msp,1,0,osm_nodes,15,0.012679,0.0863,
49,msp,1,0,osm_nodes,31,0.016369,0.1979,
50,msp,0,0,osm_nodes,7,0.0,0.0006,
51,msp,1,1,osm_nodes,21,0.005188,0.0199,
52,msp,1,1,osm_nodes,24,0.005266,0.0207,
53,msp,0,0,osm_nodes,3,0.0,0.0015,
54,msp,0,0,osm_nodes,3,0.0,0.0347,
55,msp,0,0,osm_nodes,3,0.0,0.0471,
56,msp,0,0,osm_nodes,2,0.0,0.0752,
57,msp,0,0,osm_nodes,34,0.004898,0.0473,
58,msp,1,0,osm_nodes,29,0.00446,0.024,
59,msp,1,0,osm_nodes,23,0.003937,0.0329,
60,msp,0,0,osm_nodes,30,0.004096,0.0395,
61,msp,0,0,osm_nodes,6,0.0,0.0806,
62,msp,0,0,osm_nodes,6,0.000602,0.1113,
