point_id,metro,state,lat,lon,osmid,street_count,tile_x,tile_y,image_id_0,image_id_90,image_id_180,image_id_270,dist_m_0,dist_m_90,dist_m_180,dist_m_270,compass_angle_0,compass_angle_90,compass_angle_180,compass_angle_270
0,Washington DC,DC,38.993664,-77.0519442,2108122497,3,4685,6261,245531270697768,496606861491038,223821905772138,1465377567136729,7.263,4.896,12.001,16.871,58.394,75.191,131.56,306.929
1,Washington DC,DC,38.993842,-77.04083,49821840,3,4685,6261,1839724553579629,583162383062639,1832682573570164,4081141205287828,5.454,1.745,8.57,2.62,356.0,85.559,166.22,265.083
2,Washington DC,DC,38.994462,-77.0363616,1156497287,3,4685,6261,1436605150614227,292904509083609,7581876345245915,777636443120526,9.134,11.197,0.367,31.626,0.399,122.754,179.912,267.369
3,Washington DC,DC,38.9946091,-77.0363646,567545257,3,4685,6261,1002107631657951,834577928819471,1706184386436162,777636443120526,9.838,14.553,0.84,30.18,1.323,126.325,179.928,267.369
4,Washington DC,DC,38.9937357,-77.0268962,4312150418,3,4686,6261,419721044500827,4326379120980719,971313724430943,603697840541219,13.666,15.689,2.382,30.007,0.956,134.0,179.67,266.672
5,Washington DC,DC,38.9937536,-77.0316341,9900212129,3,4686,6261,702742370650913,1998944484217565,847971777731544,259121935955829,13.234,10.635,29.019,30.81,0.0,61.0,223.0,231.989
6,Washington DC,DC,38.993837,-77.0322259,9900212137,3,4686,6261,695051158566728,712260055251614,760524950229879,760524950229879,8.654,22.194,1.65,1.65,0.0,66.0,228.64,228.64
7,Washington DC,DC,38.9939101,-77.0300084,5385070562,4,4686,6261,496602291776281,3596373520468483,829513154647511,509828506812510,2.884,13.886,17.048,2.828,327.198,137.757,167.285,316.515
8,Washington DC,DC,38.9939554,-77.0240005,2660537083,3,4686,6261,844768814617633,121689369953967,1495578368156547,2949977681946249,7.767,1.794,4.485,4.25,0.659,94.598,174.393,306.324
9,Washington DC,DC,38.9940517,-77.0250834,7069060379,4,4686,6261,796646521288253,796646521288253,213687893632610,213687893632610,11.569,11.569,5.739,5.739,58.301,58.301,237.919,237.919
10,Washington DC,DC,38.9943557,-77.0360474,460205925,4,4686,6261,1145282625983925,1301180271357622,1534267021254632,777636443120526,10.163,16.674,24.973,23.32,0.836,57.246,178.935,267.369
11,Washington DC,DC,38.994374,-77.0268787,860161840,4,4686,6261,581222506882794,1415368286611783,378488491062507,1617005772316732,10.677,1.153,0.59,27.762,347.901,143.0,162.874,275.066
12,Washington DC,DC,38.9943837,-77.0280907,5388319619,3,4686,6261,110439721115726,174090877843994,1123256521494169,832519330955712,11.27,6.389,6.709,9.525,356.077,111.687,173.35,297.804
13,Washington DC,DC,38.994389,-77.0313331,3798210476,3,4686,6261,340884301183181,1633527834303506,811576728443648,786043370685804,13.956,26.333,10.889,7.938,0.0,69.0,214.0,233.665
14,Washington DC,DC,38.994474,-77.0266109,2418425244,4,4686,6261,525801563242031,1109197518093469,378488491062507,566023463200932,8.368,17.563,26.006,11.772,345.299,84.0,162.874,271.776
15,Washington DC,DC,38.9944759,-77.0269154,1156421107,4,4686,6261,588619179318405,866372312435414,166137479285687,1617005772316732,10.935,14.115,0.685,22.375,345.824,86.751,161.988,275.066
16,Washington DC,DC,38.9944924,-77.0242457,2420204092,3,4686,6261,1787453895368223,1719491759012692,1883638899254075,919395275520983,10.701,9.237,2.822,4.937,354.345,84.82,179.511,221.571
17,Washington DC,DC,38.9945503,-77.0240286,2660537066,3,4686,6261,608195403912005,1719491759012692,836553327216036,296766928613113,2.578,10.973,13.164,16.401,359.555,84.82,186.336,322.146
18,Washington DC,DC,38.9945619,-77.028129,5388320723,4,4686,6261,1184697575292341,1587152858937412,1123256521494169,299224941837903,2.786,4.388,24.71,8.984,327.474,90.199,173.35,282.859
19,Washington DC,DC,38.9945926,-77.0240362,10029761679,3,4686,6261,186784839855754,2036841426919633,3347305172162559,296766928613113,2.541,10.727,13.009,11.686,354.564,81.709,176.765,322.146
20,Washington DC,DC,38.994594,-77.0257035,5359986560,3,4686,6261,1779545692759013,1514182956537650,669385249120358,1730156858385880,26.615,26.957,17.655,16.88,37.082,66.015,231.901,238.947
21,Washington DC,DC,38.9946647,-77.0267268,2111295939,4,4686,6261,1231959234915327,1498865151372273,121143940651814,1617005772316732,5.181,5.173,23.2,10.235,336.797,78.4,159.465,275.066
22,Washington DC,DC,38.9946755,-77.0271289,2111295932,4,4686,6261,591345316024703,1475711437064466,1258602711881012,128341813034204,10.947,9.906,3.93,10.947,306.009,91.111,157.308,305.895
23,Washington DC,DC,38.9947234,-77.0301791,1156421090,4,4686,6261,975229090094254,298164151780087,24939634328956496,160866819375893,0.097,2.064,20.02,10.694,0.0,106.586,225.768,269.216
24,Washington DC,DC,38.9951108,-77.030725,2111295956,3,4686,6261,1532806771186415,4182302342028976,189838966320590,1367163581733336,8.796,19.155,18.7,15.771,333.0,109.19,132.247,330.0
25,Washington DC,DC,38.9951909,-77.0250686,9714362308,4,4686,6261,1273963014497074,702684972877017,1072886531265538,507127325666546,14.673,17.631,28.213,6.66,45.966,73.806,239.884,249.267
26,Washington DC,DC,38.9953567,-77.0242787,2660537226,4,4686,6261,854021498487466,1391579482277834,903410273660619,677368898160476,6.261,7.831,11.029,16.682,0.0,83.275,178.145,256.316
27,Washington DC,DC,38.9958612,-77.0287731,10199291511,3,4686,6261,437909707967697,491170925434671,1460486795029835,1460486795029835,10.399,25.744,19.4,19.4,0.0,52.7,231.516,231.516
28,Washington DC,DC,38.987152,-77.106948,49194455,4,4682,6262,2352296931785917,1150459873600984,1269937638164364,511623741678433,2.741,1.438,2.912,5.701,31.594,88.245,208.678,273.435
29,Washington DC,DC,38.9880802,-77.1062394,13377176923,3,4682,6262,1953046741878664,1953046741878664,4078988192317310,805411108736817,8.412,8.412,3.732,3.424,46.745,46.745,214.097,222.039
30,Washington DC,DC,38.98865,-77.1043907,13377568432,4,4682,6262,852122317070634,571724362004240,433121922738695,1150358923807476,5.427,14.509,12.003,2.95,20.329,82.348,197.617,265.912
31,Washington DC,DC,38.9887228,-77.1045969,13377568427,3,4682,6262,2031581643916584,571724362004240,433121922738695,1114507373573131,15.259,11.216,10.587,10.3,3.706,82.348,197.617,262.248
