point_id,metro,state,lat,lon,osmid,street_count,tile_x,tile_y,image_id_0,image_id_90,image_id_180,image_id_270,dist_m_0,dist_m_90,dist_m_180,dist_m_270,compass_angle_0,compass_angle_90,compass_angle_180,compass_angle_270
0,Minneapolis,MN,45.0428749,-93.2750821,186309046,5,3946,5890,465652748339349,627172285508666,537644678157207,1177169452854919,2.316,22.286,17.402,22.577,3.032,125.288,183.774,250.518
1,Minneapolis,MN,45.042878,-93.2753565,186194921,3,3946,5890,465652748339349,627172285508666,730182128053493,1177169452854919,21.034,15.885,4.226,16.282,3.032,125.288,183.909,250.518
2,Minneapolis,MN,45.0543557,-93.2787079,7157823460,4,3946,5890,165826935959084,1004013476958895,366403335640430,349517554045372,5.802,20.215,15.603,20.215,1.754,90.0,192.837,270.0
3,Minneapolis,MN,45.0544701,-93.2787793,186189483,4,3946,5890,755362255515602,1004013476958895,737411194219954,746002916679650,14.02,14.02,1.416,1.165,0.0,90.0,224.546,228.973
4,Minneapolis,MN,45.0549315,-93.2738317,1818275235,3,3947,5890,5031002660358476,351102753887285,124589353419387,150315614326677,8.154,12.142,7.788,4.187,9.764,81.943,238.511,241.922
5,Minneapolis,MN,45.0551717,-93.2734105,7157823478,3,3947,5890,561580829040856,625640965592870,751963432721303,1396248574233053,4.11,6.786,7.063,3.742,354.711,119.661,170.05,281.222
6,Minneapolis,MN,45.048172,-93.237227,186359982,3,3948,5890,926877959799641,3371976169645320,3371976169645320,2434632423621156,15.096,29.765,29.765,20.175,12.21,120.169,120.169,249.568
7,Minneapolis,MN,45.0491738,-93.2378624,8038708245,3,3948,5890,1824614378200792,917699377303903,1594297375047788,2137860786995953,19.949,12.057,16.911,10.731,345.948,82.661,189.68,272.376
8,Minneapolis,MN,45.0467654,-93.1490121,5901701247,3,3952,5890,1449450406844542,2442975469487151,966689772401898,903326895941329,9.823,23.387,30.515,4.819,6.446,102.955,182.064,324.19
9,Minneapolis,MN,45.0467654,-93.1487699,7625422832,3,3952,5890,4250275925301423,2442975469487151,966689772401898,1444394427176209,21.288,12.196,22.736,1.417,6.889,102.955,182.064,269.103
10,Minneapolis,MN,45.042528,-93.1062398,7814419697,3,3954,5890,176202827736051,299984468447592,538130464228622,257308676145339,4.025,4.003,16.659,11.085,52.526,81.301,178.962,282.814
11,Minneapolis,MN,45.0425308,-93.1069955,11951223144,4,3954,5890,525965458817708,1829792610513693,852828548950707,1845855005584100,15.02,6.991,20.03,20.133,355.671,90.0,128.177,270.954
12,Minneapolis,MN,45.0425995,-93.1069868,6568282816,3,3954,5890,525965458817708,1829792610513693,852828548950707,1845855005584100,9.537,2.545,16.542,12.869,355.671,90.0,128.177,270.954
13,Minneapolis,MN,45.0426308,-93.1071555,6568282814,3,3954,5890,525965458817708,496259521519239,852828548950707,1845855005584100,21.83,2.23,3.262,12.66,355.671,115.256,128.177,270.954
14,Minneapolis,MN,45.0426344,-93.1084952,187899492,3,3954,5890,174715314549753,461372565162776,135014445283688,2005438216260836,9.974,1.921,10.252,12.265,303.664,91.318,189.065,262.442
15,Minneapolis,MN,45.0426435,-93.1078601,5919573785,3,3954,5890,2998449150374896,490951035388827,333528808103168,775017236548056,12.175,4.283,16.93,8.746,59.595,79.111,239.904,261.063
16,Minneapolis,MN,45.042783,-93.1075573,11951223145,4,3954,5890,4160721983984136,472473477394428,329744885241175,329744885241175,3.061,3.24,6.324,6.324,54.715,71.504,233.425,233.425
17,Minneapolis,MN,45.0428203,-93.1075211,6568282812,3,3954,5890,273077697853548,1392254297823780,974481366695479,329744885241175,10.847,5.312,7.575,8.061,15.424,99.86,219.894,233.425
18,Minneapolis,MN,45.0429998,-93.1070904,6568282822,3,3954,5890,810158513242575,765546910814415,519674709461156,1845855005584100,18.201,21.511,25.03,32.56,27.035,31.89,207.921,270.954
19,Minneapolis,MN,45.0432416,-93.1071919,6568239593,3,3954,5890,469049650833476,469049650833476,4000140430076348,207384997664265,3.609,3.609,7.083,7.128,37.034,37.034,206.394,212.34
20,Minneapolis,MN,45.0432706,-93.106507,6568148007,3,3954,5890,165083265618948,509160246880754,537985074030161,286608753115251,7.329,11.323,5.46,29.097,5.286,74.775,180.44,251.449
21,Minneapolis,MN,45.0433153,-93.1065531,7524781197,3,3954,5890,1258412424555455,297676348689090,537985074030161,286608753115251,11.233,5.799,3.183,23.173,3.79,74.775,180.44,251.449
22,Minneapolis,MN,45.0435083,-93.1065287,6568127725,3,3954,5890,304852387873088,509160246880754,767423330814085,968037870635711,11.288,15.567,4.088,7.671,6.561,74.775,188.51,245.662
23,Minneapolis,MN,45.0435112,-93.1061268,6568148011,3,3954,5890,252881423262500,3668157106629164,1886204891546600,4006457612722762,18.964,33.469,27.336,32.549,13.576,51.99,190.533,238.552
24,Minneapolis,MN,45.0435459,-93.1064733,6568147997,3,3954,5890,528664248129575,509160246880754,1886204891546600,4006457612722762,7.129,20.488,2.728,5.874,9.416,74.775,190.533,238.552
25,Minneapolis,MN,45.0452585,-93.1063953,6568127719,3,3954,5890,1196440554191847,1051649743781551,803612540264105,959372011498222,2.707,34.403,8.193,14.497,0.0,129.915,180.0,310.077
26,Minneapolis,MN,45.0455944,-93.1061814,6568144483,3,3954,5890,875079096407943,878318412721459,1175678236203164,322816879236041,14.123,7.645,25.091,34.078,20.432,69.661,175.353,286.739
