point_id,metro,state,lat,lon,osmid,street_count,tile_x,tile_y,image_id_0,image_id_90,image_id_180,image_id_270,dist_m_0,dist_m_90,dist_m_180,dist_m_270,compass_angle_0,compass_angle_90,compass_angle_180,compass_angle_270
0,Pittsburgh,PA,40.4977597,-80.06967,11778690517,3,4547,6172,4087189487986622,1133925230413204,1133925230413204,145307754279446,5.998,4.671,4.671,1.725,343.404,137.887,137.887,324.136
1,Pittsburgh,PA,40.4978239,-80.069745,11766835358,3,4547,6172,4087189487986622,866130867275197,756060345078560,188570436451658,3.849,8.835,5.486,7.521,343.404,56.489,138.221,318.653
2,Pittsburgh,PA,40.4990115,-80.0714608,7738506138,3,4547,6172,587634672154355,4012819575471524,310840913864448,917303752450852,1.878,11.127,2.45,6.879,315.402,98.849,237.891,256.781
3,Pittsburgh,PA,40.4990662,-80.0711965,7738506135,3,4547,6172,541239230228701,520539318985593,282668686884839,338120691072915,6.409,5.115,6.571,7.11,31.106,40.135,216.795,228.156
4,Pittsburgh,PA,40.4990937,-80.0715367,7738506114,3,4547,6172,924604798379330,502751764098228,502751764098228,924604798379330,0.743,10.679,10.679,0.743,315.186,130.593,130.593,315.186
5,Pittsburgh,PA,40.4991196,-80.0712838,7738506137,4,4547,6172,541239230228701,520539318985593,282668686884839,338120691072915,7.342,7.177,4.605,4.098,31.106,40.135,216.795,228.156
6,Pittsburgh,PA,40.4991821,-80.0714106,7738506131,3,4547,6172,814970242768564,502751764098228,282668686884839,814970242768564,5.621,17.396,16.821,5.621,310.152,130.593,216.795,310.152
7,Pittsburgh,PA,40.4993948,-80.0708911,7738506133,4,4547,6172,1773012126216235,240841921127792,816430295924007,1773012126216235,2.306,12.287,12.434,2.306,324.938,30.207,208.771,324.938
8,Pittsburgh,PA,40.4994111,-80.0720344,7738506115,4,4547,6172,319929436194121,3069508326649992,3069508326649992,319929436194121,3.133,4.722,4.722,3.133,313.95,131.133,131.133,313.95
9,Pittsburgh,PA,40.4994272,-80.070996,11766835362,4,4547,6172,782040066010585,240841921127792,582110019443196,582110019443196,2.549,7.568,0.283,0.283,344.577,30.207,233.116,233.116
10,Pittsburgh,PA,40.4997425,-80.0725419,11793907315,4,4547,6172,1022501631616981,2912237222438520,2912237222438520,1022501631616981,6.1,0.68,0.68,6.1,312.727,130.402,130.402,312.727
11,Pittsburgh,PA,40.4971221,-80.0588487,12849992980,3,4548,6172,906074803289944,913482692798066,913482692798066,3053388874891126,16.865,6.392,6.392,8.233,305.741,122.156,122.156,271.108
12,Pittsburgh,PA,40.4971713,-80.0588074,12849992978,4,4548,6172,906074803289944,913482692798066,913482692798066,3053388874891126,13.986,0.791,0.791,2.129,305.741,122.156,122.156,271.108
13,Pittsburgh,PA,40.4972284,-80.0587594,12849992979,3,4548,6172,906074803289944,913482692798066,913482692798066,3053388874891126,14.073,7.721,7.721,6.066,305.741,122.156,122.156,271.108
14,Pittsburgh,PA,40.4974186,-80.0596415,3508237783,3,4548,6172,746510612704228,480398706564808,480398706564808,470227794207003,20.046,14.452,14.452,18.583,314.346,123.086,123.086,299.348
15,Pittsburgh,PA,40.4974473,-80.0591931,4328261694,3,4548,6172,477587593454453,1274831292914068,1274831292914068,477587593454453,7.872,8.738,8.738,7.872,324.191,122.702,122.702,324.191
16,Pittsburgh,PA,40.4974787,-80.0595672,4328261695,4,4548,6172,746510612704228,1486641051687583,1486641051687583,470227794207003,11.703,5.559,5.559,9.412,314.346,123.044,123.044,299.348
17,Pittsburgh,PA,40.4975046,-80.0593038,11785018982,3,4548,6172,312909556887388,516863232787726,516863232787726,312909556887388,7.216,9.167,9.167,7.216,306.105,122.83,122.83,306.105
18,Pittsburgh,PA,40.4975174,-80.0595195,3508237782,3,4548,6172,746510612704228,1486641051687583,1486641051687583,470227794207003,7.457,0.543,0.543,3.515,314.346,123.044,123.044,299.348
19,Pittsburgh,PA,40.4975644,-80.0599445,3508237785,3,4548,6172,249012676995340,807824690111627,807824690111627,763259491222635,17.837,16.642,16.642,18.909,302.456,123.264,123.264,293.554
20,Pittsburgh,PA,40.4976221,-80.0592695,3508243537,4,4548,6172,746510612704228,177285167641244,177285167641244,470227794207003,19.038,21.587,21.587,20.858,314.346,122.915,122.915,299.348
21,Pittsburgh,PA,40.4976277,-80.0597469,3508243542,3,4548,6172,212532513777515,807824690111627,807824690111627,763259491222635,10.393,1.583,1.583,5.291,301.784,123.264,123.264,293.554
22,Pittsburgh,PA,40.4976308,-80.0598795,4328261697,4,4548,6172,249012676995340,807824690111627,807824690111627,763259491222635,8.944,9.643,9.643,10.241,302.456,123.264,123.264,293.554
23,Pittsburgh,PA,40.4976723,-80.0598388,3508237784,3,4548,6172,249012676995340,807824690111627,807824690111627,763259491222635,4.147,7.998,7.998,5.738,302.456,123.264,123.264,293.554
24,Pittsburgh,PA,40.4976929,-80.0596973,4328261699,4,4548,6172,212532513777515,807824690111627,807824690111627,763259491222635,10.969,9.35,9.35,6.661,301.784,123.264,123.264,293.554
25,Pittsburgh,PA,40.4977149,-80.0600871,4328261701,4,4548,6172,2959801067564706,807824690111627,807824690111627,786432838926211,11.069,28.899,28.899,11.503,307.828,123.264,123.264,301.717
26,Pittsburgh,PA,40.4977693,-80.0600388,4072391402,4,4548,6172,2959801067564706,807824690111627,807824690111627,786432838926211,4.601,28.017,28.017,5.103,307.828,123.264,123.264,301.717
