point_id,metro,state,lat,lon,osmid,street_count,tile_x,tile_y,image_id_0,image_id_90,image_id_180,image_id_270,dist_m_0,dist_m_90,dist_m_180,dist_m_270,compass_angle_0,compass_angle_90,compass_angle_180,compass_angle_270
0,Seattle,WA,47.7247103,-122.3481515,9938424558,3,2623,5713,813273426262113,691849654861302,489836285768941,921171035408125,17.458,18.481,20.344,23.321,0.0,90.66,202.826,272.389
1,Seattle,WA,47.7248675,-122.3465665,5643002933,3,2623,5713,2710070762472543,1427817930896105,298377168491190,970828133654086,12.451,14.926,1.839,16.877,348.083,69.782,185.695,281.211
2,Seattle,WA,47.7251646,-122.3465024,5643002934,3,2623,5713,186025756614489,521073448917091,771372596904799,1391285777921463,3.485,33.518,2.909,33.129,1.289,84.672,183.486,301.107
3,Seattle,WA,47.7251651,-122.3463061,11749012548,3,2623,5713,186025756614489,982303995932663,182474900421757,304383981141722,11.504,30.203,17.359,29.126,1.289,90.469,183.486,270.0
4,Seattle,WA,47.725479,-122.3454896,5643002944,3,2623,5713,335772731241133,937858793673051,520301895992735,338868884248474,27.689,19.269,19.078,2.053,0.0,90.0,175.726,271.124
5,Seattle,WA,47.7255079,-122.3441142,3825503699,3,2623,5713,315174550127320,933991240711282,1459673611039402,408799250164016,10.831,9.14,0.851,5.776,27.465,68.225,187.456,246.535
6,Seattle,WA,47.7255854,-122.35579,5427060469,3,2623,5713,3087811671455851,1402011460176938,472298990544736,160601542735566,11.806,5.479,9.448,17.423,359.814,88.637,180.709,271.196
7,Seattle,WA,47.7259033,-122.3557913,5427060468,3,2623,5713,477840800218516,947890269305040,199207982028772,947486992737505,12.279,28.364,10.237,3.807,0.174,85.584,180.95,264.643
8,Seattle,WA,47.7263444,-122.3453415,5642970602,3,2623,5713,135687095271796,324772725668153,467761894314442,3841479952637251,14.045,0.723,15.279,25.056,10.879,95.596,180.0,270.0
9,Seattle,WA,47.7263877,-122.345185,9938424550,3,2623,5713,214291343589167,1108329632967807,304878791038359,3841479952637251,5.026,6.757,2.611,15.697,359.934,90.692,182.879,270.0
10,Seattle,WA,47.7264421,-122.3553868,9936859739,3,2623,5713,1399583257134650,377461176948346,451434366758004,830980021105066,9.034,24.519,9.651,7.675,0.622,87.635,180.337,273.229
11,Seattle,WA,47.7264452,-122.3447154,3825729463,3,2623,5713,523567578804461,1798867380275224,865401504183618,1218511585233318,15.719,26.998,15.734,12.378,359.932,90.0,185.489,269.341
12,Seattle,WA,47.7268645,-122.3557168,12176753437,4,2623,5713,1957816131088547,474427093632330,3242505352642742,4756086551084584,7.651,20.569,7.145,13.155,0.394,120.861,180.145,270.189
13,Seattle,WA,47.7269229,-122.3557168,12176753438,4,2623,5713,1169903373528262,926563668179283,143118917743773,4756086551084584,7.131,28.07,6.449,14.83,359.922,95.544,181.364,270.189
14,Seattle,WA,47.7269432,-122.3448107,9299821364,3,2623,5713,1346095502428406,952839092236933,1456571878146035,325146532299421,9.338,20.464,13.914,20.464,359.379,90.0,179.497,270.0
